city,sector,sqft,bhk,floor,total_floors,age_years,amenities_score,dist_metro_km,dist_cyber_city_km,parking_spaces,furnishing,property_type,price_inr
Gurgaon,Golf Course Road,2216,5,6,30,5,9.5,1.4,0.5,1,Fully Furnished,Apartment,31403000.0
Gurgaon,New Gurgaon,1278,2,11,15,2,5.1,1.2,14.7,0,Fully Furnished,Apartment,7541000.0
Gurgaon,DLF Phase 1-3,2034,3,18,40,3,7.8,2.8,6.1,1,Fully Furnished,Apartment,25994000.0
Gurgaon,Sector 29,1390,2,2,15,0,7.5,1.2,11.5,0,Semi-Furnished,Apartment,14450000.0
Gurgaon,Sector 29,1836,4,27,30,0,6.1,0.6,14.0,1,Semi-Furnished,Villa,22740000.0
Gurgaon,Sector 56-57,1316,4,7,25,3,4.8,2.9,8.1,2,Unfurnished,Apartment,7436000.0
Gurgaon,Palam Vihar,1176,3,3,20,2,5.8,1.2,14.1,0,Semi-Furnished,Apartment,5663000.0
Gurgaon,New Gurgaon,1021,2,3,5,12,6.6,0.2,11.2,3,Fully Furnished,Builder Floor,7677000.0
Gurgaon,Golf Course Road,2120,4,16,30,14,8.7,1.1,6.1,3,Fully Furnished,Apartment,33476000.0
Gurgaon,Palam Vihar,931,1,9,15,1,3.2,7.2,8.3,0,Unfurnished,Apartment,3356000.0
Gurgaon,Sohna Road,1242,4,7,10,8,6.7,8.9,11.1,1,Semi-Furnished,Apartment,5074000.0
Gurgaon,Sector 56-57,1612,3,0,10,3,4.9,9.2,10.9,1,Fully Furnished,Apartment,8356000.0
Gurgaon,Sector 29,1152,3,9,10,0,3.2,0.2,7.5,2,Semi-Furnished,Apartment,13060000.0
Gurgaon,Golf Course Road,1816,5,9,15,6,9.1,1.6,4.4,0,Semi-Furnished,Apartment,25585000.0
Gurgaon,Sector 56-57,1083,3,6,15,0,4.6,2.3,5.9,0,Semi-Furnished,Apartment,7738000.0
Gurgaon,DLF Phase 1-3,1791,4,15,25,6,5.2,1.1,8.2,1,Semi-Furnished,Apartment,20346000.0
Gurgaon,Sohna Road,1273,3,25,25,10,6.1,2.6,13.1,0,Unfurnished,Apartment,6638000.0
Gurgaon,Sector 29,1422,3,13,15,3,4.9,4.6,8.7,2,Semi-Furnished,Builder Floor,14894000.0
Gurgaon,Golf Course Road,1522,3,3,5,0,7.2,2.2,0.7,2,Unfurnished,Builder Floor,25661000.0
